date,agent_name,campaign_id,audience_segment,reach,unique_users,frequency,ctr,cvr,orders,spend,revenue,incremental_reach_pct,overlap_pct,insight_signal,recommended_action
2026-01-01,Audience Discovery Agent,CMP-101,high_intent_repeat_buyers,42000,28500,1.47,0.041,0.096,168,2100,15240,12.4,18.2,high_opportunity,expand_seed_audience
2026-01-02,Audience Discovery Agent,CMP-101,category_browsers_7d,51000,36100,1.41,0.036,0.081,149,2240,11860,16.8,26.9,optimization_gap,split_by_price_sensitivity
2026-01-03,Audience Discovery Agent,CMP-101,lapsed_buyers_90d,39000,30050,1.3,0.03,0.067,98,1980,7240,21.2,14.5,stable,maintain
2026-01-04,Audience Discovery Agent,CMP-204,competitor_switchers,47000,32800,1.43,0.032,0.069,104,2210,7930,18.7,22.3,optimization_gap,add_promotional_message
2026-01-05,Audience Discovery Agent,CMP-204,new_category_entrants,53000,38900,1.36,0.035,0.074,137,2380,10120,24.9,19.8,high_opportunity,increase_budget_cap
2026-01-06,Audience Discovery Agent,CMP-204,price_sensitive_cluster,56000,40500,1.38,0.027,0.059,92,2260,6180,14.1,33.4,efficiency_risk,apply_bid_down_modifier
2026-01-07,Audience Discovery Agent,CMP-318,premium_shoppers,60000,41800,1.44,0.039,0.091,229,2450,17620,27.5,17.2,high_opportunity,expand_to_lookalikes
2026-01-08,Audience Discovery Agent,CMP-318,in_market_cross_category,58000,42600,1.36,0.034,0.083,189,2410,14590,19.3,21.1,stable,maintain
2026-01-09,Audience Discovery Agent,CMP-318,broad_contextual_cluster,72000,54000,1.33,0.026,0.061,141,2520,9840,31.4,35.8,optimization_gap,exclude_low_intent_domains
2026-01-10,Audience Discovery Agent,CMP-412,household_bulk_buyers,45000,31200,1.44,0.031,0.072,118,2140,8260,17.1,20.4,stable,maintain
