date,agent_name,campaign_id,channel,bid_strategy,target_roas,bid_adjustment_pct,impressions,clicks,ctr,cpc,spend,orders,revenue,roas,win_rate,insight_signal,recommended_action
2026-01-01,Bid Optimization Agent,CMP-101,onsite,auto_roas,4.2,3,120000,4200,0.035,1.18,4956,310,21420,4.32,0.46,stable,maintain
2026-01-02,Bid Optimization Agent,CMP-101,onsite,auto_roas,4.2,5,125000,4500,0.036,1.16,5220,332,23000,4.41,0.48,high_opportunity,increase_bid_high_intent
2026-01-03,Bid Optimization Agent,CMP-101,onsite,auto_roas,4.2,-2,118500,3980,0.034,1.22,4855.6,286,19840,4.09,0.43,efficiency_risk,tighten_low_quality_queries
2026-01-04,Bid Optimization Agent,CMP-204,offsite,manual_cpc,3.6,4,98000,2950,0.03,1.42,4189,205,14700,3.51,0.39,optimization_gap,reallocate_to_top_publishers
2026-01-05,Bid Optimization Agent,CMP-204,offsite,manual_cpc,3.6,6,102300,3220,0.031,1.38,4443.6,238,16920,3.81,0.41,high_opportunity,raise_bid_segment_A
2026-01-06,Bid Optimization Agent,CMP-204,offsite,manual_cpc,3.6,-3,94500,2700,0.029,1.44,3888,182,12640,3.25,0.36,efficiency_risk,exclude_low_viewability_supply
2026-01-07,Bid Optimization Agent,CMP-318,onsite,auto_roas,5.0,2,150400,5150,0.034,1.05,5407.5,415,28120,5.2,0.52,stable,maintain
2026-01-08,Bid Optimization Agent,CMP-318,onsite,auto_roas,5.0,4,154200,5380,0.035,1.03,5541.4,438,30280,5.46,0.55,high_opportunity,expand_keyword_set
2026-01-09,Bid Optimization Agent,CMP-318,onsite,auto_roas,5.0,-4,147900,4805,0.032,1.08,5189.4,372,25160,4.85,0.49,optimization_gap,restore_bid_on_top_terms
2026-01-10,Bid Optimization Agent,CMP-412,offsite,manual_cpc,3.9,1,110700,3180,0.029,1.31,4165.8,236,16090,3.86,0.4,stable,maintain
